no_attrib,scaling,test_size,activation,optimiser,no_epochs,batch_size,loss
10,TRUE,0.3,sigmoid,sgd,100,10,10.4283628
11,TRUE,0.3,sigmoid,sgd,100,10,13.35805594
1,TRUE,0.3,exponential,sgd,100,10,23.97917587
2,TRUE,0.3,exponential,sgd,100,10,
3,TRUE,0.3,exponential,sgd,100,10,
4,TRUE,0.3,exponential,sgd,100,10,
5,TRUE,0.3,exponential,sgd,100,10,
6,TRUE,0.3,exponential,sgd,100,10,
7,TRUE,0.3,exponential,sgd,100,10,
8,TRUE,0.3,exponential,sgd,100,10,
9,TRUE,0.3,exponential,sgd,100,10,
10,TRUE,0.3,exponential,sgd,100,10,
11,TRUE,0.3,exponential,sgd,100,10,
1,TRUE,0.3,elu,sgd,100,10,23.15805817
2,TRUE,0.3,elu,sgd,100,10,27.55781395
3,TRUE,0.3,elu,sgd,100,10,32.31335138
4,TRUE,0.3,elu,sgd,100,10,17.24398613
5,TRUE,0.3,elu,sgd,100,10,20.90435565
6,TRUE,0.3,elu,sgd,100,10,13.67287892
7,TRUE,0.3,elu,sgd,100,10,20.23147232
8,TRUE,0.3,elu,sgd,100,10,12.60890644
9,TRUE,0.3,elu,sgd,100,10,8.959424019
10,TRUE,0.3,elu,sgd,100,10,14.35900186
11,TRUE,0.3,elu,sgd,100,10,14.75590631
1,TRUE,0.3,linear,sgd,100,10,32.12479059
2,TRUE,0.3,linear,sgd,100,10,34.92377904
3,TRUE,0.3,linear,sgd,100,10,28.32064297
4,TRUE,0.3,linear,sgd,100,10,50.62067935
5,TRUE,0.3,linear,sgd,100,10,31.32188978
6,TRUE,0.3,linear,sgd,100,10,32.44356778
7,TRUE,0.3,linear,sgd,100,10,25.74518916
8,TRUE,0.3,linear,sgd,100,10,29.54112083
9,TRUE,0.3,linear,sgd,100,10,36.22187464
10,TRUE,0.3,linear,sgd,100,10,44.00571442
11,TRUE,0.3,linear,sgd,100,10,19.53143215
1,TRUE,0.3,relu,adam,100,10,26.64261406
2,TRUE,0.3,relu,adam,100,10,27.31164162
3,TRUE,0.3,relu,adam,100,10,17.73806803
4,TRUE,0.3,relu,adam,100,10,24.32663426
5,TRUE,0.3,relu,adam,100,10,18.13038417
6,TRUE,0.3,relu,adam,100,10,19.0883323
7,TRUE,0.3,relu,adam,100,10,11.60048871
8,TRUE,0.3,relu,adam,100,10,9.946416955
9,TRUE,0.3,relu,adam,100,10,15.62385308
10,TRUE,0.3,relu,adam,100,10,14.71750397
11,TRUE,0.3,relu,adam,100,10,18.14012548
1,TRUE,0.3,tanh,adam,100,10,31.61716301
2,TRUE,0.3,tanh,adam,100,10,23.03169983
3,TRUE,0.3,tanh,adam,100,10,24.36316922
4,TRUE,0.3,tanh,adam,100,10,20.26354599
5,TRUE,0.3,tanh,adam,100,10,27.84523281
6,TRUE,0.3,tanh,adam,100,10,24.85277733
7,TRUE,0.3,tanh,adam,100,10,16.84243759
8,TRUE,0.3,tanh,adam,100,10,29.88990217
9,TRUE,0.3,tanh,adam,100,10,24.04818746
10,TRUE,0.3,tanh,adam,100,10,20.40916112
11,TRUE,0.3,tanh,adam,100,10,11.22106848
1,TRUE,0.3,sigmoid,adam,100,10,29.72349865
2,TRUE,0.3,sigmoid,adam,100,10,21.54244654
3,TRUE,0.3,sigmoid,adam,100,10,24.6053142
4,TRUE,0.3,sigmoid,adam,100,10,25.29790276
5,TRUE,0.3,sigmoid,adam,100,10,21.25048939
6,TRUE,0.3,sigmoid,adam,100,10,21.07893623
7,TRUE,0.3,sigmoid,adam,100,10,31.2485334
8,TRUE,0.3,sigmoid,adam,100,10,24.52740052
9,TRUE,0.3,sigmoid,adam,100,10,17.51823556
10,TRUE,0.3,sigmoid,adam,100,10,20.60765844
11,TRUE,0.3,sigmoid,adam,100,10,20.51245378
1,TRUE,0.3,exponential,adam,100,10,30.09522548
2,TRUE,0.3,exponential,adam,100,10,15.16180021
3,TRUE,0.3,exponential,adam,100,10,17.74307025
4,TRUE,0.3,exponential,adam,100,10,22.98766608
5,TRUE,0.3,exponential,adam,100,10,16.61768838
6,TRUE,0.3,exponential,adam,100,10,15.55867742
7,TRUE,0.3,exponential,adam,100,10,15.86825551
8,TRUE,0.3,exponential,adam,100,10,11.5714615
9,TRUE,0.3,exponential,adam,100,10,9.06395478
10,TRUE,0.3,exponential,adam,100,10,19.21076117
11,TRUE,0.3,exponential,adam,100,10,16.12764333
1,TRUE,0.3,elu,adam,100,10,31.08457505
2,TRUE,0.3,elu,adam,100,10,19.0852368
3,TRUE,0.3,elu,adam,100,10,16.73011981
4,TRUE,0.3,elu,adam,100,10,25.7409022
5,TRUE,0.3,elu,adam,100,10,14.71263183
6,TRUE,0.3,elu,adam,100,10,17.02104127
7,TRUE,0.3,elu,adam,100,10,13.40656918
8,TRUE,0.3,elu,adam,100,10,19.54422449
9,TRUE,0.3,elu,adam,100,10,11.3676542
10,TRUE,0.3,elu,adam,100,10,11.10694268
11,TRUE,0.3,elu,adam,100,10,14.69524346
1,TRUE,0.3,linear,adam,100,10,39.15040006
2,TRUE,0.3,linear,adam,100,10,30.82972311
3,TRUE,0.3,linear,adam,100,10,27.51924515
4,TRUE,0.3,linear,adam,100,10,36.18400252
5,TRUE,0.3,linear,adam,100,10,28.56003872
6,TRUE,0.3,linear,adam,100,10,26.51118299
7,TRUE,0.3,linear,adam,100,10,35.57212112
8,TRUE,0.3,linear,adam,100,10,24.60346493
9,TRUE,0.3,linear,adam,100,10,26.20423046
10,TRUE,0.3,linear,adam,100,10,32.14130562
11,TRUE,0.3,linear,adam,100,10,22.32909062
1,TRUE,0.3,relu,sgd,100,10,30.09461553
2,TRUE,0.3,relu,sgd,100,10,18.70390099
3,TRUE,0.3,relu,sgd,100,10,19.10693425
4,TRUE,0.3,relu,sgd,100,10,16.28221522
5,TRUE,0.3,relu,sgd,100,10,13.84619843
6,TRUE,0.3,relu,sgd,100,10,14.07735458
7,TRUE,0.3,relu,sgd,100,10,13.06269493
8,TRUE,0.3,relu,sgd,100,10,16.78046457
9,TRUE,0.3,relu,sgd,100,10,14.85569271
10,TRUE,0.3,relu,sgd,100,10,24.14951796
11,TRUE,0.3,relu,sgd,100,10,10.47826511
1,TRUE,0.3,tanh,sgd,100,10,30.83913361
2,TRUE,0.3,tanh,sgd,100,10,22.24222098
3,TRUE,0.3,tanh,sgd,100,10,20.61527661
4,TRUE,0.3,tanh,sgd,100,10,11.85003622
5,TRUE,0.3,tanh,sgd,100,10,10.31559026
6,TRUE,0.3,tanh,sgd,100,10,23.87073858
7,TRUE,0.3,tanh,sgd,100,10,10.58976452
8,TRUE,0.3,tanh,sgd,100,10,14.62756358
9,TRUE,0.3,tanh,sgd,100,10,10.5538052
10,TRUE,0.3,tanh,sgd,100,10,10.73530102
11,TRUE,0.3,tanh,sgd,100,10,13.15208274
1,TRUE,0.3,sigmoid,sgd,100,10,25.0517675
2,TRUE,0.3,sigmoid,sgd,100,10,23.71772056
3,TRUE,0.3,sigmoid,sgd,100,10,18.42611554
4,TRUE,0.3,sigmoid,sgd,100,10,12.87447437
5,TRUE,0.3,sigmoid,sgd,100,10,12.7955131
6,TRUE,0.3,sigmoid,sgd,100,10,15.62242995
7,TRUE,0.3,sigmoid,sgd,100,10,13.2863883
8,TRUE,0.3,sigmoid,sgd,100,10,11.31249177
9,TRUE,0.3,sigmoid,sgd,100,10,18.14899226
10,TRUE,0.3,sigmoid,sgd,100,10,10.4283628
11,TRUE,0.3,sigmoid,sgd,100,10,13.35805594
1,TRUE,0.3,exponential,sgd,100,10,23.97917587
2,TRUE,0.3,exponential,sgd,100,10,
3,TRUE,0.3,exponential,sgd,100,10,
4,TRUE,0.3,exponential,sgd,100,10,
5,TRUE,0.3,exponential,sgd,100,10,
6,TRUE,0.3,exponential,sgd,100,10,
7,TRUE,0.3,exponential,sgd,100,10,
8,TRUE,0.3,exponential,sgd,100,10,
9,TRUE,0.3,exponential,sgd,100,10,
10,TRUE,0.3,exponential,sgd,100,10,
11,TRUE,0.3,exponential,sgd,100,10,
1,TRUE,0.3,elu,sgd,100,10,23.15805817
2,TRUE,0.3,elu,sgd,100,10,27.55781395
3,TRUE,0.3,elu,sgd,100,10,32.31335138
4,TRUE,0.3,elu,sgd,100,10,17.24398613
5,TRUE,0.3,elu,sgd,100,10,20.90435565
6,TRUE,0.3,elu,sgd,100,10,13.67287892
7,TRUE,0.3,elu,sgd,100,10,20.23147232
8,TRUE,0.3,elu,sgd,100,10,12.60890644
9,TRUE,0.3,elu,sgd,100,10,8.959424019
10,TRUE,0.3,elu,sgd,100,10,14.35900186
11,TRUE,0.3,elu,sgd,100,10,14.75590631
1,TRUE,0.3,linear,sgd,100,10,32.12479059
2,TRUE,0.3,linear,sgd,100,10,34.92377904
3,TRUE,0.3,linear,sgd,100,10,28.32064297
4,TRUE,0.3,linear,sgd,100,10,50.62067935
5,TRUE,0.3,linear,sgd,100,10,31.32188978
6,TRUE,0.3,linear,sgd,100,10,32.44356778
7,TRUE,0.3,linear,sgd,100,10,25.74518916
8,TRUE,0.3,linear,sgd,100,10,29.54112083
9,TRUE,0.3,linear,sgd,100,10,36.22187464
10,TRUE,0.3,linear,sgd,100,10,44.00571442
11,TRUE,0.3,linear,sgd,100,10,19.53143215
1,TRUE,0.3,relu,nadam,100,10,34.36567909
2,TRUE,0.3,relu,nadam,100,10,15.63716949
3,TRUE,0.3,relu,nadam,100,10,19.64855967
4,TRUE,0.3,relu,nadam,100,10,10.76261771
5,TRUE,0.3,relu,nadam,100,10,23.78366272
6,TRUE,0.3,relu,nadam,100,10,17.14718698
7,TRUE,0.3,relu,nadam,100,10,11.95059947
8,TRUE,0.3,relu,nadam,100,10,13.23849343
9,TRUE,0.3,relu,nadam,100,10,9.611564486
10,TRUE,0.3,relu,nadam,100,10,17.63403059
11,TRUE,0.3,relu,nadam,100,10,12.0850928
1,TRUE,0.3,tanh,nadam,100,10,26.48170873
2,TRUE,0.3,tanh,nadam,100,10,26.97172155
3,TRUE,0.3,tanh,nadam,100,10,13.95779173
4,TRUE,0.3,tanh,nadam,100,10,11.57328054
5,TRUE,0.3,tanh,nadam,100,10,13.91387668
6,TRUE,0.3,tanh,nadam,100,10,14.82415977
7,TRUE,0.3,tanh,nadam,100,10,20.37223123
8,TRUE,0.3,tanh,nadam,100,10,13.46425107
9,TRUE,0.3,tanh,nadam,100,10,15.41581146
10,TRUE,0.3,tanh,nadam,100,10,17.67128553
11,TRUE,0.3,tanh,nadam,100,10,9.988252389
1,TRUE,0.3,sigmoid,nadam,100,10,34.49588695
2,TRUE,0.3,sigmoid,nadam,100,10,31.47254552
3,TRUE,0.3,sigmoid,nadam,100,10,15.97599346
4,TRUE,0.3,sigmoid,nadam,100,10,18.90274956
5,TRUE,0.3,sigmoid,nadam,100,10,15.87892522
6,TRUE,0.3,sigmoid,nadam,100,10,14.91341571
7,TRUE,0.3,sigmoid,nadam,100,10,13.26054942
8,TRUE,0.3,sigmoid,nadam,100,10,19.03162479
9,TRUE,0.3,sigmoid,nadam,100,10,17.42415167
10,TRUE,0.3,sigmoid,nadam,100,10,18.43980644
11,TRUE,0.3,sigmoid,nadam,100,10,15.8022212
1,TRUE,0.3,exponential,nadam,100,10,27.48519877
2,TRUE,0.3,exponential,nadam,100,10,80.45123592
3,TRUE,0.3,exponential,nadam,100,10,14.11573229
4,TRUE,0.3,exponential,nadam,100,10,11.88297912
5,TRUE,0.3,exponential,nadam,100,10,11.70865202
6,TRUE,0.3,exponential,nadam,100,10,14.37462977
7,TRUE,0.3,exponential,nadam,100,10,10.63370644
8,TRUE,0.3,exponential,nadam,100,10,16.18577463
9,TRUE,0.3,exponential,nadam,100,10,17.87663651
10,TRUE,0.3,exponential,nadam,100,10,13.43885886
11,TRUE,0.3,exponential,nadam,100,10,17.11919152
1,TRUE,0.3,elu,nadam,100,10,32.01935402
2,TRUE,0.3,elu,nadam,100,10,19.31211612
3,TRUE,0.3,elu,nadam,100,10,11.9956779
4,TRUE,0.3,elu,nadam,100,10,13.37187865
5,TRUE,0.3,elu,nadam,100,10,10.26976179
6,TRUE,0.3,elu,nadam,100,10,13.49711207
7,TRUE,0.3,elu,nadam,100,10,12.83824886
8,TRUE,0.3,elu,nadam,100,10,10.97757555
9,TRUE,0.3,elu,nadam,100,10,11.34256652
10,TRUE,0.3,elu,nadam,100,10,11.96048749
11,TRUE,0.3,elu,nadam,100,10,12.65083017
1,TRUE,0.3,linear,nadam,100,10,28.30054815
2,TRUE,0.3,linear,nadam,100,10,36.85097112
3,TRUE,0.3,linear,nadam,100,10,19.43268987
4,TRUE,0.3,linear,nadam,100,10,27.76399773
5,TRUE,0.3,linear,nadam,100,10,31.26682101
6,TRUE,0.3,linear,nadam,100,10,28.02938853
7,TRUE,0.3,linear,nadam,100,10,31.12163734
8,TRUE,0.3,linear,nadam,100,10,30.85892346
9,TRUE,0.3,linear,nadam,100,10,32.78682889
10,TRUE,0.3,linear,nadam,100,10,23.00081223
